group;contrast;estimate;CI 2.5%;CI 97.5%;t;d;p
amusics;hihat - optimal;5.9;-7.81;19.62;0.85;0.15;0.396698
controls;hihat - optimal;23.12;9.4;36.83;3.33;0.57;0.001083
