feature,contrast,estimate,CI 2.5%,CI 97.5%,t,p,d
pitch,controls - amusics,-20.98,-35.29,-6.67,-2.9,0,-0.65
intensity,controls - amusics,0.29,-14.02,14.61,0.04,0.97,0.01
timbre,controls - amusics,-3.16,-17.47,11.15,-0.44,0.66,-0.1
location,controls - amusics,-1.57,-15.88,12.74,-0.22,0.83,-0.05
