contrast,feature,estimate,CI 2.5%,CI 97.5%,t,p,d
familiar - unfamiliar,pitch,-0.3,-0.79,0.19,-1.2,0.23,-0.21
familiar - unfamiliar,intensity,-0.75,-1.24,-0.26,-3.03,0,-0.53
familiar - unfamiliar,timbre,0.11,-0.38,0.6,0.45,0.65,0.08
familiar - unfamiliar,location,-0.03,-0.52,0.46,-0.12,0.9,-0.02
