contrast,estimate,CI 2.5%,CI 97.5%,t,p,d
pitch - intensity,0.86,0.39,1.32,4.91,0,0.61
pitch - timbre,0.63,0.17,1.1,3.61,0,0.45
pitch - location,1.63,1.16,2.1,9.32,0,1.15
intensity - timbre,-0.23,-0.69,0.24,-1.3,1,-0.16
intensity - location,0.77,0.31,1.24,4.41,0,0.55
timbre - location,1,0.53,1.46,5.7,0,0.71
