model,null,AIC,X2,p,AIC,X2,p
fm0,NA,874.99,NA,NA,2748.63,NA,NA
fm1,fm0,874.28,2.71,0.1,2750.12,0.51,0.48
fm2,fm1,875.41,0.88,0.35,2751.97,0.15,0.7
fm3,fm2,806.63,74.78,0,2597.67,160.3,0
fm4,fm3,805.45,7.18,0.07,2603.42,0.25,0.97
fm5,fm4,806.99,0.46,0.5,2604.34,1.08,0.3
fm6,fm5,808.77,4.23,0.24,2609.31,1.03,0.79
fm7,fm6,811.28,3.49,0.32,2613.97,1.34,0.72
